"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Login with correct email and password","LMS service","Sun Aug 24 19:28:53 UTC 2025","passed","Sun Aug 24 19:28:53 UTC 2025","Login","Authentication","",""
"","30","Create course","LMS service","Sun Aug 24 19:28:55 UTC 2025","passed","Sun Aug 24 19:28:55 UTC 2025","Create entity","Courses","",""
"","20","Get exercise","LMS service","Sun Aug 24 19:28:56 UTC 2025","passed","Sun Aug 24 19:28:56 UTC 2025","Get entity","Exercises","",""
"","14","Get file with incorrect id","LMS service","Sun Aug 24 19:29:01 UTC 2025","passed","Sun Aug 24 19:29:01 UTC 2025","Validate entity","Files","",""
"","289","Create user","LMS service","Sun Aug 24 19:29:01 UTC 2025","passed","Sun Aug 24 19:29:02 UTC 2025","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","Sun Aug 24 19:29:00 UTC 2025","passed","Sun Aug 24 19:29:00 UTC 2025","Validate entity","Files","",""
"","266","Create file","LMS service","Sun Aug 24 19:28:59 UTC 2025","passed","Sun Aug 24 19:28:59 UTC 2025","Create entity","Files","",""
"","304","Update course","LMS service","Sun Aug 24 19:28:54 UTC 2025","passed","Sun Aug 24 19:28:54 UTC 2025","Update entity","Courses","",""
"","18","Get exercises","LMS service","Sun Aug 24 19:28:58 UTC 2025","passed","Sun Aug 24 19:28:58 UTC 2025","Get entities","Exercises","",""
"","40","Create file with empty directory","LMS service","Sun Aug 24 19:29:00 UTC 2025","passed","Sun Aug 24 19:29:00 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Sun Aug 24 19:29:01 UTC 2025","passed","Sun Aug 24 19:29:01 UTC 2025","Delete entity","Files","",""
"","24","Update exercise","LMS service","Sun Aug 24 19:28:56 UTC 2025","passed","Sun Aug 24 19:28:56 UTC 2025","Update entity","Exercises","",""
"","15","Get file","LMS service","Sun Aug 24 19:28:59 UTC 2025","passed","Sun Aug 24 19:28:59 UTC 2025","Get entity","Files","",""
"","22","Create exercise","LMS service","Sun Aug 24 19:28:55 UTC 2025","passed","Sun Aug 24 19:28:55 UTC 2025","Create entity","Exercises","",""
"","527","Create user","LMS service","Sun Aug 24 19:29:02 UTC 2025","passed","Sun Aug 24 19:29:02 UTC 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sun Aug 24 19:28:58 UTC 2025","passed","Sun Aug 24 19:28:58 UTC 2025","Delete entity","Exercises","",""
"","26","Get courses","LMS service","Sun Aug 24 19:28:54 UTC 2025","passed","Sun Aug 24 19:28:54 UTC 2025","Get entities","Courses","",""
"","555","Create user","LMS service","Sun Aug 24 19:29:01 UTC 2025","passed","Sun Aug 24 19:29:02 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Sun Aug 24 19:29:03 UTC 2025","passed","Sun Aug 24 19:29:03 UTC 2025","Get entity","Users","",""
